   6 U	S
   1 November	9
   1 Newsletters	Advertise
   1 News	November
   1 News	AgencyRisk
   1 More	Flag
   1 Min	Read
   1 Markets	World
   1 Mao	Zedong
   1 Management	SolutionsTax
   1 Lou	now
   1 Lou	also
   1 Lou	Jiwei
   1 Look	at
   1 Login	Contact
   1 Lee	File
   1 LYNXMPEFA8072	amp
   1 Kevin	Yao
   1 Jiwei	a
   1 Jason	Lee
   1 January	21
   1 IFRAME	www
   1 Hogue	Our
   1 Guidelines	Cookies
   1 GTM	W9SLGS
   1 Friday	he
   1 Franklin	U
   1 Flag	of
   1 FinancialGovernment	SolutionsLegalReuters
   1 File	Photo
   1 FILE	PHOTO
   1 Editing	by
   1 Donald	Trump
   1 Discover	Thomson
   1 Directory	of
   1 Cookies	Terms
   1 Containment	and
   1 Contact	Support
   1 Chinese	finance
   1 Chinese	exports
   1 Chinese	Chairman
   1 Chinese	100
   1 China	should
   1 China	given
   1 China	and
   1 China	U
   1 China	January
   1 Chairman	Mao
   1 But	Lou
   1 Business	News
   1 Business	Markets
   1 Benjamin	Franklin
   1 Beijing	Officials
   1 Beijing	China
   1 BUTTON	Discover
   1 BUTTON	Business
   1 BEIJING	Reuters
   1 Apps	Newsletters
   1 Answers	OnInnovation
   1 All	quotes
   1 All	Rights
   1 AgencyRisk	Management
   1 Advertising	Guidelines
   1 Advertise	with
   1 AccountingBlog	Answers
   1 AM	2
   1 A	Sino
   1 A	Benjamin
   1 9	50
   1 9	2019
   1 50	AM
   1 21	2016
   1 2020	Reuters
   1 20191109	amp
   1 2019	9
   1 2016	REUTERS
   1 20	FILE
   1 2	months
   1 2	amp
   1 2	Min
   1 15	minutes
   1 1450143412	amp
   1 100	yuan
   1 100	dollar
   1 02	amp
   1 0	narrow
   1 0	0
